Country,Region,  Ranking Status Index,  S | Status Index,  Ranking Democracy Status,  SI | Democracy Status,  Q1 | Stateness,  Q1.1 | Monopoly on the use of force,  Q1.2 | State identity,  Q1.3 | No interference of religious dogmas,  Q1.4 | Basic administration,  Q2 | Political Participation,  Q2.1 | Free and fair elections,  Q2.2 | Effective power to govern,  Q2.3 | Association / assembly rights,  Q2.4 | Freedom of expression,  Q3 | Rule of Law,  Q3.1 | Separation of powers,  Q3.2 | Independent judiciary,  Q3.3 | Prosecution of office abuse,  Q3.4 | Civil rights,  Q4 | Stability of Democratic Institutions,  Q4.1 | Performance of democratic institutions,  Q4.2 | Commitment to democratic institutions,  Q5 | Political and Social Integration,  Q5.1 | Party system,  Q5.2 | Interest groups,  Q5.4 | Social capital,  Ranking Economy Status,  SII | Economy Status,  Q6 | Level of Socioeconomic Development,  Q6.1 | Socioeconomic barriers,  Q7 | Organization of the Market and Competition,  Q7.1 | Market organization,  Q7.2 | Competition policy,  Q7.3 | Liberalization of foreign trade,  Q7.4 | Banking system,  Q8 | Monetary and Fiscal Stability,  Q8.1 | Monetary stability,  Q8.2 | Fiscal stability,  Q9 | Private Property,  Q9.1 | Property rights,  Q9.2 | Private enterprise,  Q10 | Welfare Regime,  Q10.1 | Social safety nets,  Q10.2 | Equal opportunity,  Q11 | Economic Performance,  Q11.1 | Output strength,  Q12 | Sustainability,  Q12.1 | Environmental policy,  Q12.2 | Education / R&D policy,  Ranking Governance Index,  G | Governance Index,  Q13 | Level of Difficulty,  Q13.1 | Structural constraints,  Q13.2 | Civil society traditions,  Q13.3 | Conflict intensity,  Q13.4 | GNI p.c. Atlas method rescaled,  Q13.5 | UN Educ. Index rescaled,  Q13.6 | BTI Stateness & Rule of Law,  GII | Governance Performance,  Q14 | Steering Capability,  Q14.1 | Prioritization,  Q14.2 | Implementation,  Q14.3 | Policy learning,  Q15 | Resource Efficiency,  Q15.1 | Efficient use of assets,  Q15.2 | Policy coordination,  Q15.3 | Anti-corruption policy,  Q16 | Consensus-Building,  Q16.1 | Consensus on goals,  Q16.2 | Anti-democratic actors,  Q16.3 | Cleavage / conflict management,  Q17 | International Cooperation,  Q17.1 | Effective use of support,  Q17.2 | Credibility,  Q17.3 | Regional cooperation,  Total,Democracy/Autocracy,  S | Status Index.1,  Category,Status Index,  SI | Democracy Status.1,  Category.1,Democracy Status,  SII | Economy Status.1,  Category.2,Economy Status,  G | Governance Index.1,  Category.3,Governance Index,  Q13 | Level of Difficulty.1,  Category.4,0.4,  GII | Governance Performance.1,  Category.5,Governance Performance,Year
Dominican Republic,2,40,6.439285714,35,6.95,8,9,7,9,7,8,7,8,9,8,5.25,6,5,4,6,7,7,7,6.5,6,6,6,55,5.928571429,5,5,6.5,6,6,7,7,7.5,8,7,6.5,6,7,4.5,5,4,7,7,4.5,4,5,44,5.570023148,4.0625,5,5,3,4,3,4.375,6.416666667,6.333333333,6,6,7,5,6,6,3,7,7,9,7,7.333333333,8,7,7,0,Dem.,6.44,3,Limited,6.95,2,Defective democracy,5.93,3,Limited,5.57,3,Moderate,4.1,4,Minor,6.416666667,2,Sound,2018
Ecuador,2,58,5.717857143,63,5.9,8.25,9,8,9,7,6.5,6,9,6,5,4.75,4,4,5,6,5.5,6,5,4.5,4,4,5,67,5.535714286,5,5,5.75,4,5,7,7,6.5,7,6,5,5,5,5.5,5,6,6,6,5,5,5,65,4.987152778,4.75,6,6,4,5,3,4.5,5.645833333,5.666666667,6,6,5,5,5,6,4,5.25,5,7,5,6.666666667,7,6,7,0,Dem.,5.72,3,Limited,5.9,3,Highly defective democracy,5.54,3,Limited,4.99,3,Moderate,4.8,3,Moderate,5.645833333,3,Fair,2018
Egypt,4,96,4.278571429,98,3.7,6.25,6,7,6,6,2.75,3,2,3,3,3.5,3,4,4,3,2,2,2,4,3,4,5,83,4.857142857,3,3,6,4,6,7,7,6,6,6,6.5,7,6,3.5,3,4,5,5,4,4,4,93,3.963263889,5.6875,7,4,7,6,4,6.125,4.383333333,4,4,4,4,4.333333333,4,5,4,3.2,5,2,3,6,5,5,8,6,Aut.,4.28,4,Very limited,3.7,5,Hard-line autocracy,4.86,4,Very limited,3.96,4,Weak,5.7,3,Moderate,4.383333333,4,Flawed,2018
El Salvador,2,28,6.882142857,29,7.3,7.75,6,9,10,6,8.5,9,9,8,8,6,7,6,6,5,8,7,9,6.25,7,7,5,36,6.464285714,4,4,8.25,7,7,10,9,8,9,7,8.5,8,9,5.5,6,5,6,6,5,5,5,14,6.566381173,5.020833333,7,5,4,6,4,4.125,7.383333333,6.666666667,7,7,6,6.333333333,6,8,5,7.2,8,9,7,9.333333333,9,9,10,0,Dem.,6.88,3,Limited,7.3,2,Defective democracy,6.46,3,Limited,6.57,2,Good,5,3,Moderate,7.383333333,2,Sound,2018
Eritrea,5,126,1.844047619,126,2.116666667,6,7,7,7,3,1,1,1,1,1,1.25,1,1,2,1,1,1,1,1.333333333,1,1,2,127,1.571428571,1,1,1,1,1,1,1,2.5,2,3,2,3,1,1.5,2,1,1,1,2,2,2,128,1.12507716,8.395833333,9,9,5,10,10,7.375,1.166666667,1,1,1,1,1.333333333,1,2,1,1,1,1,1,1.333333333,1,1,2,6,Aut.,1.84,5,Failed,2.12,5,Hard-line autocracy,1.57,5,Rudimentary,1.13,5,Failed,8.4,2,Substantial,1.166666667,5,Poor,2018
Estonia,1,1,9.517857143,2,9.75,9.5,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.25,9,9,9,2,9.285714286,8,8,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,1,7.43683642,1.708333333,2,2,3,1,1,1.25,9.116666667,9,9,9,9,8.666666667,9,8,9,8.8,10,10,7,10,10,10,10,0,Dem.,9.52,1,Highly advanced,9.75,1,Democracy in consolidation,9.29,1,Highly advanced,7.44,1,Very good,1.7,5,Negligible,9.116666667,1,Excellent,2018
Ethiopia,5,113,3.329761905,114,3.016666667,6,7,5,6,6,2,2,2,2,2,2.75,2,3,4,2,2,2,2,2.333333333,2,2,3,109,3.642857143,2,2,3.5,3,3,4,4,4.5,4,5,3.5,3,4,3,4,2,6,6,3,2,4,100,3.653981481,8.270833333,8,8,8,9,10,6.625,3.8,4,4,4,4,3,3,4,2,2.2,3,2,2,6,7,6,5,6,Aut.,3.33,5,Failed,3.02,5,Hard-line autocracy,3.64,4,Very limited,3.65,4,Weak,8.3,2,Substantial,3.8,4,Flawed,2018
Georgia,6,42,6.417857143,37,6.8,6.5,5,6,8,7,8.5,9,8,9,8,6.5,6,7,6,7,7.5,7,8,5,5,5,4,47,6.035714286,4,4,7.25,7,6,9,7,7.5,8,7,6.5,6,7,5.5,6,5,6,6,5.5,5,6,33,5.874166667,4.75,7,6,5,5,1,4.5,6.65,6,6,6,6,6.666666667,6,7,7,6.6,7,8,6,7.333333333,7,7,8,0,Dem.,6.42,3,Limited,6.8,2,Defective democracy,6.04,3,Limited,5.87,2,Good,4.8,3,Moderate,6.65,2,Sound,2018
Ghana,3,32,6.753571429,20,7.9,7.75,9,9,7,6,8.5,8,9,9,8,7,8,8,5,7,8.5,9,8,7.75,8,8,7,64,5.607142857,4,4,6.25,5,5,7,8,5.5,5,6,7.5,8,7,5,4,6,6,6,5,5,5,19,6.182725694,5.104166667,6,4,4,8,5,3.625,6.9375,6,6,6,6,5.666666667,5,7,5,7.75,8,9,7,8.333333333,8,9,8,0,Dem.,6.75,3,Limited,7.9,2,Defective democracy,5.61,3,Limited,6.18,2,Good,5.1,3,Moderate,6.9375,2,Sound,2018
Guatemala,2,80,5.078571429,74,5.05,6,4,6,10,4,5.25,6,4,5,6,4.75,5,5,5,4,5,5,5,4.25,4,5,4,77,5.107142857,3,3,5.75,4,4,9,6,7,7,7,5.5,5,6,4,4,4,7,7,3.5,3,4,77,4.521458333,6.104166667,7,6,6,6,6,5.625,4.95,4.333333333,5,4,4,4,4,4,4,4.8,6,4,4,6.666666667,6,6,8,0,Dem.,5.08,4,Very limited,5.05,3,Highly defective democracy,5.11,3,Limited,4.52,3,Moderate,6.1,3,Moderate,4.95,4,Flawed,2018
Guinea,3,71,5.275,60,6.05,7.75,8,9,9,5,6.25,6,7,6,6,5,5,6,4,5,5,5,5,6.25,6,6,6,93,4.5,1,1,5,4,5,6,5,6.5,6,7,6,5,7,4.5,4,5,5,5,3.5,5,2,38,5.823981481,7.270833333,8,6,6,10,9,4.625,6.2,6.333333333,7,6,6,5.333333333,5,6,5,5.8,6,7,5,7.333333333,7,7,8,0,Dem.,5.28,4,Very limited,6.05,2,Defective democracy,4.5,4,Very limited,5.82,2,Good,7.3,2,Substantial,6.2,2,Sound,2018
Haiti,2,109,3.496428571,88,4.1,5.5,4,7,9,2,6,6,4,7,7,3,3,3,2,4,3,3,3,3,3,3,3,118,2.892857143,1,1,3.75,3,2,6,4,4,5,3,4.5,4,5,3,3,3,2,2,2,2,2,110,3.391635802,7.791666667,9,8,6,9,8,6.75,3.566666667,2.666666667,3,2,3,2.333333333,3,2,2,4.6,5,5,5,4.666666667,4,4,6,1,Aut.,3.5,5,Failed,4.1,4,Moderate autocracy,2.89,5,Rudimentary,3.39,4,Weak,7.8,2,Substantial,3.566666667,4,Flawed,2018
Honduras,2,64,5.507142857,64,5.8,7.5,6,9,9,6,5.75,6,6,6,5,4.75,5,5,5,4,5.5,5,6,5.5,6,6,5,75,5.214285714,3,3,6.5,5,6,8,7,7,7,7,6.5,6,7,4,4,4,6,6,3.5,4,3,66,4.978209877,5.979166667,7,6,5,7,6,4.875,5.466666667,5.333333333,6,5,5,4.333333333,4,6,3,5.2,6,5,6,7,7,6,8,0,Dem.,5.51,3,Limited,5.8,3,Highly defective democracy,5.21,3,Limited,4.98,3,Moderate,6,3,Moderate,5.466666667,3,Fair,2018
Hungary,1,18,7.432142857,32,7.15,9.25,10,9,8,10,7.5,7,10,7,6,6,5,6,6,7,6.5,6,7,6.5,7,6,6,19,7.714285714,8,8,8.5,8,8,10,8,7.5,8,7,8.5,9,8,7.5,8,7,8,8,6,6,6,79,4.441165123,1.895833333,1,2,3,1,1,3.375,5.416666667,5.666666667,6,6,5,5.333333333,5,6,5,5,7,6,5,5.666666667,6,5,6,0,Dem.,7.43,2,Advanced,7.15,2,Defective democracy,7.71,2,Advanced,4.44,3,Moderate,1.9,5,Negligible,5.416666667,3,Fair,2018
India,7,26,6.960714286,24,7.6,7.25,8,7,7,7,8,9,9,7,7,7,9,7,6,6,8.5,8,9,7.25,7,7,6,40,6.321428571,4,4,6.75,6,7,7,7,7.5,8,7,7,7,7,4.5,5,4,9,9,5.5,5,6,24,6.021604938,5.645833333,6,5,6,8,5,3.875,6.666666667,7,7,7,7,6,6,7,5,7,9,8,5,6.666666667,7,8,5,0,Dem.,6.96,3,Limited,7.6,2,Defective democracy,6.32,3,Limited,6.02,2,Good,5.6,3,Moderate,6.666666667,2,Sound,2018
Indonesia,7,45,6.25,43,6.5,6.5,7,7,5,7,7,8,7,7,6,6.25,9,5,5,6,6,6,6,6.75,6,7,7,51,6,5,5,6.5,6,5,6,9,7.5,8,7,6.5,6,7,5.5,6,5,7,7,4,3,5,48,5.451574074,5.4375,6,6,6,6,4,4.625,6.066666667,6,6,6,6,5,5,6,4,5.6,6,6,5,7.666666667,7,8,8,0,Dem.,6.25,3,Limited,6.5,2,Defective democracy,6,3,Limited,5.45,3,Moderate,5.4,3,Moderate,6.066666667,2,Sound,2018
Iran,4,118,3.154761905,118,2.916666667,5.25,7,7,1,6,2.75,4,2,3,2,2.25,3,2,2,2,2,2,2,2.333333333,2,2,3,113,3.392857143,3,3,2.25,2,2,3,2,4,4,4,3,3,3,3,4,2,5,5,3.5,3,4,115,2.847407407,5.041666667,5,7,5,4,2,7.25,3.2,3.666666667,4,3,4,3.333333333,4,3,3,2.8,3,3,3,3,3,3,3,6,Aut.,3.15,5,Failed,2.92,5,Hard-line autocracy,3.39,4,Very limited,2.85,5,Failed,5,3,Moderate,3.2,4,Flawed,2018
Iraq,4,107,3.746428571,100,3.6,3.5,4,4,3,3,4.75,6,4,6,3,3.75,5,4,3,3,3,3,3,3,4,3,2,106,3.892857143,3,3,4.25,4,3,6,4,6.5,7,6,4,4,4,3,4,2,4,4,2.5,2,3,80,4.43117284,7.729166667,9,9,10,5,6,7.375,4.666666667,4,3,4,5,3.333333333,3,4,3,5,5,5,5,6.333333333,7,5,7,2,Aut.,3.75,5,Failed,3.6,5,Hard-line autocracy,3.89,4,Very limited,4.43,3,Moderate,7.7,2,Substantial,4.666666667,4,Flawed,2018
Jamaica,2,21,7.310714286,15,8.3,8.75,8,10,9,8,9.5,9,9,10,10,7.25,8,9,5,7,8.5,8,9,7.5,9,7,7,40,6.321428571,5,5,6.75,5,5,8,9,8,9,7,8,8,8,5.5,5,6,6,6,5,5,5,35,5.86095679,3.833333333,4,4,4,5,3,3,6.791666667,6.666666667,7,7,6,4.666666667,5,5,4,7.5,8,9,7,8.333333333,8,8,9,0,Dem.,7.31,2,Advanced,8.3,1,Democracy in consolidation,6.32,3,Limited,5.86,2,Good,3.8,4,Minor,6.791666667,2,Sound,2018
Jordan,4,72,5.219047619,84,4.366666667,6.5,7,6,6,7,4,5,2,5,4,4.5,3,5,5,5,2.5,2,3,4.333333333,3,5,5,45,6.071428571,4,4,7,5,6,8,9,7.5,9,6,7.5,8,7,5,5,5,6,6,5.5,5,6,70,4.839691358,5.083333333,7,6,5,5,2,5.5,5.433333333,4.333333333,4,5,4,5.333333333,6,5,5,4.4,6,4,5,7.666666667,7,8,8,3,Aut.,5.22,4,Very limited,4.37,4,Moderate autocracy,6.07,3,Limited,4.84,3,Moderate,5.1,3,Moderate,5.433333333,3,Fair,2018
Kazakhstan,6,88,4.703571429,93,3.8,8.5,9,8,9,8,2.5,2,2,3,3,3,2,4,3,3,2,2,2,3,2,3,4,64,5.607142857,5,5,6.25,6,5,7,7,6.5,6,7,6,6,6,5.5,5,6,5,5,5,4,6,81,4.410262346,4.041666667,5,7,4,2,1,5.25,5.083333333,5,5,5,5,4.666666667,5,6,3,4,6,2,6,6.666666667,5,7,8,6,Aut.,4.7,4,Very limited,3.8,5,Hard-line autocracy,5.61,3,Limited,4.41,3,Moderate,4,4,Minor,5.083333333,3,Fair,2018
Kenya,5,57,5.803571429,53,6.25,6.75,5,8,8,6,6.5,8,6,5,7,5.5,6,6,4,6,6.5,6,7,6,4,6,6,72,5.357142857,3,3,6.5,5,6,7,8,7,8,6,6,5,7,4.5,4,5,6,6,4.5,4,5,68,4.922260802,6.145833333,7,4,7,8,6,4.875,5.383333333,6,6,6,6,3.666666667,4,4,3,5.2,7,5,5,6.666666667,7,6,7,0,Dem.,5.8,3,Limited,6.25,2,Defective democracy,5.36,3,Limited,4.92,3,Moderate,6.1,3,Moderate,5.383333333,3,Fair,2018
Kosovo,1,49,6.207142857,45,6.45,7.5,7,7,8,8,7.25,7,7,9,6,5.75,6,6,5,6,6,6,6,5.75,7,6,4,53,5.964285714,5,5,6.75,5,6,9,7,7,8,6,7,7,7,5.5,5,6,6,6,4.5,4,5,57,5.172430556,4.5625,6,5,5,6,1,4.375,5.883333333,5.666666667,6,6,5,4.666666667,4,6,4,6.2,8,6,6,7,7,6,8,0,Dem.,6.21,3,Limited,6.45,2,Defective democracy,5.96,3,Limited,5.17,3,Moderate,4.6,3,Moderate,5.883333333,3,Fair,2018
Kuwait,4,60,5.607142857,82,4.5,7.25,10,6,5,8,3.75,4,3,4,4,4.5,4,5,4,5,3,3,3,4,2,6,4,31,6.714285714,7,7,6,6,4,7,7,8,8,8,7.5,8,7,6.5,7,6,7,7,5,4,6,82,4.371778549,4.020833333,3,6,5,1,4,5.125,5.041666667,4.333333333,5,4,4,4.333333333,5,4,4,4.5,5,4,5,7,6,6,9,2,Aut.,5.61,3,Limited,4.5,4,Moderate autocracy,6.71,3,Limited,4.37,3,Moderate,4,4,Minor,5.041666667,3,Fair,2018
Kyrgyzstan,6,55,5.896428571,55,6.15,8,9,8,9,6,6.5,7,6,7,6,5.25,6,4,5,6,6,5,7,5,4,5,5,63,5.642857143,4,4,6.5,5,6,8,7,7.5,8,7,7,6,8,5,5,5,6,6,3.5,3,4,73,4.727808642,5.395833333,7,6,5,8,2,4.375,5.266666667,5,5,4,6,4.333333333,4,5,4,5.4,7,6,6,6.333333333,6,6,7,0,Dem.,5.9,3,Limited,6.15,2,Defective democracy,5.64,3,Limited,4.73,3,Moderate,5.4,3,Moderate,5.266666667,3,Fair,2018
Laos,7,106,3.851190476,118,2.916666667,8.25,8,8,10,7,1,1,1,1,1,2,1,2,2,3,1,1,1,2.333333333,1,1,5,86,4.785714286,4,4,5,5,3,7,5,6.5,7,6,4,3,5,4,3,5,7,7,3,3,3,95,3.886751543,6.479166667,6,10,3,8,6,5.875,4.216666667,4,4,3,5,3.333333333,5,3,2,3.2,4,1,6,6.333333333,6,5,8,6,Aut.,3.85,5,Failed,2.92,5,Hard-line autocracy,4.79,4,Very limited,3.89,4,Weak,6.5,2,Substantial,4.216666667,4,Flawed,2018
Latvia,1,8,8.678571429,9,8.75,9.5,10,8,10,10,9,9,9,10,8,8.25,9,8,7,9,10,10,10,7,6,7,7,8,8.607142857,7,7,9.25,8,10,10,9,9.5,10,9,10,10,10,8,8,8,8,8,8.5,9,8,8,7.000447531,2.354166667,2,4,4,1,1,2.125,8.433333333,8.666666667,9,9,8,7,7,7,7,8.4,10,9,8,9.666666667,9,10,10,0,Dem.,8.68,1,Highly advanced,8.75,1,Democracy in consolidation,8.61,1,Highly advanced,7,1,Very good,2.4,5,Negligible,8.433333333,1,Excellent,2018
Lebanon,4,74,5.147619048,77,4.866666667,5.5,5,7,6,4,5.75,5,3,8,7,4.75,5,5,3,6,3,3,3,5.333333333,5,6,5,70,5.428571429,4,4,7,6,5,8,9,7,9,5,7.5,8,7,4,4,4,5,5,3.5,2,5,101,3.598256173,5.145833333,8,3,7,4,3,5.875,4.033333333,3.333333333,3,3,4,3,3,4,2,3.8,5,3,3,6,5,7,6,2,Aut.,5.15,4,Very limited,4.87,4,Moderate autocracy,5.43,3,Limited,3.6,4,Weak,5.1,3,Moderate,4.033333333,4,Flawed,2018
Lesotho,5,73,5.192857143,66,5.6,7.5,8,9,8,5,5.75,8,4,6,5,5.5,4,6,6,6,4.5,4,5,4.75,4,4,5,86,4.785714286,2,2,5.5,5,2,8,7,6.5,7,6,7,7,7,4,3,5,5,5,3.5,4,3,103,3.588487654,6.583333333,7,7,7,8,6,4.5,3.883333333,3.666666667,4,4,3,3.666666667,4,3,4,3.2,4,3,3,5,5,4,6,0,Dem.,5.19,4,Very limited,5.6,3,Highly defective democracy,4.79,4,Very limited,3.59,4,Weak,6.6,2,Substantial,3.883333333,4,Flawed,2018
Liberia,3,63,5.560714286,41,6.55,7.75,9,8,9,5,7.5,8,7,8,7,5.25,6,5,5,5,7,6,8,5.25,5,5,5,90,4.571428571,1,1,5,4,5,5,6,6.5,6,7,7,7,7,3.5,3,4,5,5,4,5,3,37,5.844907407,7.083333333,10,7,4,10,7,4.5,6.25,5.666666667,7,5,5,5,4,6,5,7,7,7,8,7.333333333,8,7,7,0,Dem.,5.56,3,Limited,6.55,2,Defective democracy,4.57,4,Very limited,5.84,2,Good,7.1,2,Substantial,6.25,2,Sound,2018
Libya,4,122,2.604761905,123,2.566666667,1.75,1,2,3,1,3.5,4,2,4,4,1.75,2,2,2,1,2.5,2,3,3.333333333,3,4,3,122,2.642857143,3,3,2.5,2,3,1,4,3.5,4,3,2.5,2,3,2,1,3,2,2,3,3,3,122,2.291388889,7.375,9,7,10,5,4,9.25,2.433333333,3,3,1,5,1,1,1,1,2.4,3,2,1,3.333333333,3,3,4,5,Aut.,2.6,5,Failed,2.57,5,Hard-line autocracy,2.64,5,Rudimentary,2.29,5,Failed,7.4,2,Substantial,2.433333333,5,Poor,2018
Lithuania,1,4,9.242857143,4,9.45,10,10,10,10,10,9.75,10,10,10,9,9.5,10,10,9,9,10,10,10,8,7,8,8,5,9.035714286,8,8,9.75,9,10,10,10,10,10,10,10,10,10,8.5,8,9,8,8,9,9,9,5,7.180694444,1.375,1,3,1,1,1,1.25,8.883333333,8.333333333,9,8,8,8.333333333,9,8,8,9.2,10,10,8,9.666666667,10,10,9,0,Dem.,9.24,1,Highly advanced,9.45,1,Democracy in consolidation,9.04,1,Highly advanced,7.18,1,Very good,1.4,5,Negligible,8.883333333,1,Excellent,2018
Madagascar,5,82,5.014285714,70,5.35,6.75,6,8,8,5,5.5,6,7,5,4,4.25,4,4,4,5,6,5,7,4.25,4,5,4,89,4.678571429,2,2,5.25,4,5,6,6,7,7,7,6,5,7,3.5,3,4,5,5,4,5,3,61,5.123148148,6.916666667,8,7,5,10,6,5.5,5.5,5.333333333,5,5,6,4,4,4,4,6,7,5,6,6.666666667,6,7,7,0,Dem.,5.01,4,Very limited,5.35,3,Highly defective democracy,4.68,4,Very limited,5.12,3,Moderate,6.9,2,Substantial,5.5,3,Fair,2018
Malawi,5,66,5.492857143,45,6.45,7.75,9,8,8,6,7.25,6,8,8,7,5.75,6,6,5,6,7,7,7,4.5,4,4,4,91,4.535714286,2,2,5.75,4,6,7,6,5,5,5,6.5,6,7,4,3,5,5,5,3.5,3,4,42,5.607453704,6.708333333,8,7,4,10,7,4.25,6.05,6.333333333,7,5,7,4.333333333,4,5,4,6.2,7,7,7,7.333333333,8,6,8,0,Dem.,5.49,4,Very limited,6.45,2,Defective democracy,4.54,4,Very limited,5.61,2,Good,6.7,2,Substantial,6.05,2,Sound,2018
Malaysia,7,53,5.998809524,78,4.783333333,8,9,8,6,9,3.75,4,3,4,4,4,3,4,4,5,2.5,3,2,5.666666667,7,5,5,22,7.214285714,7,7,7.5,8,6,7,9,7.5,8,7,8,9,7,6.5,7,6,8,8,6,5,7,54,5.2,4,4,6,5,2,2,5,6,5,5,5,5,6,7,6,5,5,6,4,5,8,7,7,10,3,Aut.,6,3,Limited,4.78,4,Moderate autocracy,7.21,2,Advanced,5.2,3,Moderate,4,4,Minor,6,2,Sound,2018
Mali,3,76,5.135714286,62,5.95,5.5,4,7,6,5,7.25,7,7,8,7,4.75,4,5,4,6,6,6,6,6.25,4,7,7,97,4.321428571,1,1,5.25,4,4,6,7,6.5,8,5,5.5,5,6,4,4,4,5,5,3,3,3,57,5.166766975,7.145833333,8,4,6,9,10,5.875,5.516666667,5.333333333,5,5,6,4.333333333,4,5,4,5.4,6,6,4,7,7,6,8,0,Dem.,5.14,4,Very limited,5.95,3,Highly defective democracy,4.32,4,Very limited,5.17,3,Moderate,7.1,2,Substantial,5.516666667,3,Fair,2018
Mauritania,3,99,4.21547619,86,4.216666667,6,8,6,4,6,4.25,3,2,6,6,4,3,4,4,5,2.5,3,2,4.333333333,5,4,4,100,4.214285714,3,3,3.5,3,2,5,4,5.5,6,5,4.5,5,4,3.5,4,3,6,6,3.5,4,3,90,4.060493827,7.166666667,8,8,5,8,8,6,4.333333333,3.666666667,4,4,3,3.333333333,4,3,3,4,3,4,4,6.333333333,5,7,7,3,Aut.,4.22,4,Very limited,4.22,4,Moderate autocracy,4.21,4,Very limited,4.06,4,Weak,7.2,2,Substantial,4.333333333,4,Flawed,2018
Mauritius,5,13,8.25,12,8.5,9,10,9,8,9,8.75,9,10,9,7,8.25,9,9,7,8,9,9,9,7.5,8,8,5,15,8,7,7,8.5,9,7,9,9,9,10,8,8.5,8,9,7,8,6,9,9,7,7,7,13,6.642997685,2.5625,3,4,2,3,1,2.375,7.958333333,8,8,8,8,6.333333333,7,7,5,8.5,10,9,8,9,9,9,9,0,Dem.,8.25,2,Advanced,8.5,1,Democracy in consolidation,8,1,Highly advanced,6.64,2,Good,2.6,4,Minor,7.958333333,2,Sound,2018
Mexico,2,48,6.228571429,57,6.1,7.25,5,8,9,7,6.25,7,6,7,5,5,7,5,4,4,6.5,6,7,5.5,6,6,5,39,6.357142857,6,6,7.5,6,6,10,8,7.5,9,6,7,6,8,5.5,6,5,6,6,5,5,5,57,5.167677469,4.979166667,6,6,7,3,3,4.875,5.816666667,5.666666667,6,6,5,4.666666667,5,6,3,5.6,8,5,5,7.333333333,7,7,8,0,Dem.,6.23,3,Limited,6.1,2,Defective democracy,6.36,3,Limited,5.17,3,Moderate,5,3,Moderate,5.816666667,3,Fair,2018
Moldova,6,54,5.957142857,54,6.2,7.25,5,8,9,7,6.25,6,5,8,6,5.5,5,5,5,7,6.5,6,7,5.5,6,6,5,60,5.714285714,4,4,7,6,7,9,6,7.5,8,7,7,7,7,5.5,5,6,4,4,5,5,5,60,5.145717593,5.270833333,8,6,4,7,2,4.625,5.75,5.333333333,4,6,6,5,6,6,3,6,6,6,6,6.666666667,7,5,8,0,Dem.,5.96,3,Limited,6.2,2,Defective democracy,5.71,3,Limited,5.15,3,Moderate,5.3,3,Moderate,5.75,3,Fair,2018
Mongolia,6,34,6.592857143,28,7.4,9,10,10,10,6,7.75,8,7,9,7,6.25,7,6,5,7,7.5,7,8,6.5,6,7,6,59,5.785714286,5,5,7,7,7,7,7,6,6,6,6.5,6,7,6,6,6,5,5,5,5,5,28,5.964091435,4.395833333,7,6,3,6,1,3.375,6.8125,6,6,6,6,5,5,5,5,8.25,9,9,8,8,7,8,9,0,Dem.,6.59,3,Limited,7.4,2,Defective democracy,5.79,3,Limited,5.96,2,Good,4.4,4,Minor,6.8125,2,Sound,2018
Montenegro,1,20,7.346428571,26,7.55,9,10,8,8,10,7.5,7,9,8,6,7,7,7,6,8,7,7,7,7.25,7,7,7,23,7.142857143,7,7,8.5,7,8,10,9,7.5,9,6,8,8,8,7,7,7,6,6,6,6,6,17,6.488271605,3.333333333,5,4,3,4,1,3,7.616666667,7.333333333,8,7,7,6.333333333,5,7,7,7.8,10,8,7,9,9,8,10,0,Dem.,7.35,2,Advanced,7.55,2,Defective democracy,7.14,2,Advanced,6.49,2,Good,3.3,4,Minor,7.616666667,2,Sound,2018
Morocco,4,90,4.614285714,93,3.8,6.75,8,7,6,6,3,3,2,4,3,3.25,2,2,4,5,2,2,2,4,4,4,4,70,5.428571429,3,3,6,5,4,8,7,7.5,8,7,6,6,6,4,4,4,6,6,5.5,6,5,83,4.277530864,5.666666667,6,5,4,7,6,6,4.733333333,4.333333333,5,4,4,3.666666667,4,4,3,4.6,5,3,5,6.333333333,7,6,6,4,Aut.,4.61,4,Very limited,3.8,5,Hard-line autocracy,5.43,3,Limited,4.28,4,Weak,5.7,3,Moderate,4.733333333,4,Flawed,2018
Mozambique,5,95,4.313095238,83,4.483333333,7,5,9,9,5,4.75,6,3,5,5,3,3,3,3,3,3,3,3,4.666666667,6,3,5,101,4.142857143,2,2,4.5,4,3,5,6,5,5,5,5.5,5,6,3.5,3,4,5,5,3.5,4,3,85,4.250864198,7.666666667,8,7,7,9,9,6,4.483333333,4.666666667,5,5,4,2.666666667,3,3,2,4.6,6,4,5,6,6,4,8,3,Aut.,4.31,4,Very limited,4.48,4,Moderate autocracy,4.14,4,Very limited,4.25,4,Weak,7.7,2,Substantial,4.483333333,4,Flawed,2018
Myanmar,7,111,3.375,104,3.5,4,4,3,6,3,5,7,3,5,5,3,4,3,2,3,2.5,2,3,3,3,3,3,114,3.25,2,2,3.25,3,3,4,3,3.5,4,3,2.5,2,3,2.5,3,2,6,6,3,3,3,92,3.972592593,8.25,9,8,9,8,8,7.5,4.133333333,3.333333333,3,3,4,3,3,3,3,4.2,4,4,4,6,6,6,6,2,Aut.,3.38,5,Failed,3.5,5,Hard-line autocracy,3.25,4,Very limited,3.97,4,Weak,8.3,2,Substantial,4.133333333,4,Flawed,2018
